Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.053437409602029,-0.00157154794263342,-0.000593527470885428,0,0,0,0.0941614886039718,4.1962895378451E-05,-3.95936343066547E-07,3.71581881595053E-06,6.19064387889479E-05,-7.50919599046178E-07,8.90989070871673E-05,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/base_link.STL,0.980392156862745,0.32156862745098,0.784313725490196,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/base_link.STL,,_0001_ASM-1/手掌上壳-右-1;_0001_ASM-1/ROHand-A 背板-1;_0001_ASM-1/手腕连接件-右-1;_0001_ASM-1/ROHand-A 手掌下壳-1;_0001_ASM-1/Rohand-A-大拇指+丝杆电机装配体-1/0013_ASM-1/__10002-1;_0001_ASM-1/Rohand-A-大拇指+丝杆电机装配体-1/0013_ASM-1/__10003-1;_0001_ASM-1/Rohand-A-大拇指+丝杆电机装配体-1/0013_ASM-1/0014-1;_0006_ASM-1/__10004_ASM-1/R-01_STP-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/00-0-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/00-0-1;_0001_ASM-1/Rohand-A-无名指+丝杆电机装配体-1/Rohand-A 食指组件-1/00-0-1;_0001_ASM-1/Rohand-A-小指+丝杆电机装配体-1/Rohand-A 小指组件-2/00-0-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
if_slider_link,-0.0138798470586651,-1.77814088514819E-06,1.16554215466667E-06,0,0,0,0.000489138281878773,4.37013503730524E-09,9.3553794985559E-12,-9.37544203136204E-12,3.84671321264049E-08,-7.08548727299808E-11,3.92716909448731E-08,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_slider_link.STL,0.125490196078431,0.23921568627451,0.807843137254902,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_slider_link.STL,,_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0004-1,if_slider_joint,if_slider_axis,if_slider_link,prismatic,-0.074396,-0.026655,-0.0097434,0,0,0.083145,base_link,1,0,0,0,0,0,0.019,,,,,,,,
if_slider_abpart_link,-0.0098705551993538,-0.00349928888491387,-0.000168929676359134,0,0,0,0.000526636346253179,1.99518933794444E-09,3.24071636836159E-14,-6.37165955063127E-10,5.76677440658075E-09,-1.70097049335438E-14,6.48636651403671E-09,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_slider_abpart_link.STL,0.0470588235294118,0.266666666666667,0.647058823529412,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_slider_abpart_link.STL,,_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_20001_ASM-1/_6-R-231011--678590001-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_20001_ASM-1/_6-R-231011--726080001-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_STEP0001-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0003_ASM(2)-1/_6-R-231011-1-77180001-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0003_ASM(2)-1/_6-R-231011--264160001-1,if_slider_abpart_joint,if_slider_abpart_axis,if_slider_abpart_link,continuous,-0.029,0.0034858,0.00030547,0.087249,-0.007224,-0.00063188,if_slider_link,0,1,0,,,,,,,,,,,,
if_proximal_link,-0.017507268472061,-0.00649954582351695,-0.00265972894406238,0,0,0,0.00154953088476912,6.13857835764731E-08,1.26200119317916E-12,2.8354163198119E-09,1.5478934492363E-07,6.1543197602833E-12,1.69561750125337E-07,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_proximal_link.STL,0.980392156862745,0.32156862745098,0.784313725490196,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_proximal_link.STL,,_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/Rohand-A-食指中段-1,if_proximal_joint,if_proximal_axis,if_proximal_link,continuous,-0.11324,-0.024137,-0.00060889,0.08729,-0.0072104,0.082206,base_link,0,1,0,,,,,,,,,,,,
if_distal_link,-0.0207456050323993,-0.00652113222371814,-0.0059341817582626,0,0,0,0.00486631616353016,1.02935391726991E-07,8.03493694278474E-11,-1.08246562605608E-07,5.6144574593782E-07,2.1735263233147E-11,5.49739130113452E-07,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_distal_link.STL,0.980392156862745,0.32156862745098,0.784313725490196,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_distal_link.STL,,_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/ROHand-A 食指指尖组件-1/ROHand-A 食指指腹-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/ROHand-A 食指指尖组件-1/_-_0001-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/销轴2.4x5.35-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/销轴2.4x12.6-1;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/1.0301.0000014 轴套-4;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/1.0301.0000014 轴套-1,if_distal_joint,if_distal_axis,if_distal_link,continuous,-0.035898,0,-0.00123,0,0,0,if_proximal_link,0,-1,0,,,,,,,,,,,,
if_connecting_link,-0.0152039536058405,-0.00280004249324478,-0.00724355490292475,0,0,0,0.000197689248381643,3.91489210401553E-09,3.36553786099776E-16,-8.97206544685382E-09,2.7071452080005E-08,9.37430360997053E-17,2.31776470558077E-08,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_connecting_link.STL,0.854901960784314,0.964705882352941,0.443137254901961,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/if_connecting_link.STL,,_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/0006-2;_0001_ASM-1/Rohand-A-食指+丝杆电机装配体-1/Rohand-A 食指组件-1/0006-1,if_connecting_joint,if_connecting_axis,if_connecting_link,continuous,-0.12029,-0.028806,0.0034519,0.08729,-0.0072104,0.082206,base_link,0,1,0,,,,,,,,,,,,
mf_slider_link,-0.0138798474424271,-1.6692623983211E-06,1.31648596003991E-06,0,0,0,0.000489138286069735,4.37013489677666E-09,8.50223638929115E-12,-1.01554445552757E-11,3.84609428882441E-08,-8.77794474705807E-17,3.92778874126385E-08,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_slider_link.STL,0.125490196078431,0.23921568627451,0.807843137254902,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_slider_link.STL,,_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0004-1,mf_slider_joint,mf_slider_axis,mf_slider_link,prismatic,-0.076974,-0.010077,-0.0054756,0,-0.00010039,0.013228,base_link,1,0,0,0,0,0,0.019,,,,,,,,
mf_slider_abpart_link,-0.00985909634413134,-0.00349928002100841,-0.000504595108816555,0,0,0,0.000526636368526203,2.04370963010357E-09,3.68234274091019E-14,-7.88377805679439E-10,5.7667749266055E-09,-1.49378056893031E-14,6.43784679635947E-09,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_slider_abpart_link.STL,0.0470588235294118,0.266666666666667,0.647058823529412,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_slider_abpart_link.STL,,_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_20001_ASM-1/_6-R-231011--678590001-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_20001_ASM-1/_6-R-231011--726080001-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/_STEP0001-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0003_ASM(2)-1/_6-R-231011--264160001-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/Rohand-A 丝杆电机箱-1/0003_ASM(2)-1/_6-R-231011-1-77180001-1,mf_slider_abpart_joint,mf_slider_abpart_axis,mf_slider_abpart_link,continuous,-0.029,0.0034992,0,7.3922E-05,9.943E-05,0,mf_slider_link,0,1,0,,,,,,,,,,,,
mf_proximal_link,-0.0198856894332426,-0.00650010894914529,-0.00446783947396843,0,0,0,0.00189501856049681,7.77768465914501E-08,3.35729447880575E-12,-1.00302822522159E-08,2.34065570730722E-07,3.72047402290562E-13,2.46195972830364E-07,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_proximal_link.STL,0.980392156862745,0.32156862745098,0.784313725490196,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_proximal_link.STL,,_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/中指中段-1,mf_proximal_joint,mf_proximal_axis,mf_proximal_link,continuous,-0.11605,-0.0040932,0.0031256,-4.2699E-05,0,0.013244,base_link,0,1,0,,,,,,,,,,,,
mf_distal_link,-0.020668138548168,-0.00652121394783809,-0.00619612933062102,0,0,0,0.00486610881310999,1.05742401121664E-07,7.43790959215548E-11,-1.13851795577474E-07,5.61383513502878E-07,2.10886184636669E-11,5.46868928882543E-07,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_distal_link.STL,0.854901960784314,0.964705882352941,0.443137254901961,1,0,0,0,0,0,0,package://rohand_urdf_ros1/meshes_r/mf_distal_link.STL,,_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/ROHand-A 食指指尖组件-1/_-_0001-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/销轴2.4x12.6-2;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/销轴2.4x5.35-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/ROHand-A 食指指尖组件-1/ROHand-A 食指指腹-1;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/轴套D3.2-d2.4-17;_0001_ASM-1/Rohand-A-中指+丝杆电机装配体-1/中指组件-1/轴套D3.2-d2.4-1,mf_distal_joint,mf_distal_axis,mf_distal_link,continuous,-0.040855,0,-0.0035364,2.1644E-05,0,0,mf_proximal_link,0,1,0,,,,,,,,,,,,
